id_cidade;nm_cidade;uf
2073;Manoel Vitorino;BA
2074;Mansidão;BA
2075;Maracás;BA
2076;Maragogipe;BA
2077;Maraú;BA
2078;Marcionílio Souza;BA
2079;Mascote;BA
2080;Mata de São João;BA
2081;Matina;BA
2082;Medeiros Neto;BA
2083;Miguel Calmon;BA
2084;Milagres;BA
2085;Mirangaba;BA
2086;Mirante;BA
2087;Monte Santo;BA
2088;Morpará;BA
2089;Morro do Chapéu;BA
2090;Mortugaba;BA
2091;Mucugê;BA
2092;Mucuri;BA
2093;Mulungu do Morro;BA
2094;Mundo Novo;BA
2095;Muniz Ferreira;BA
2096;Muquém de São Francisco;BA
2097;Muritiba;BA
2098;Mutuípe;BA
2099;Nazaré;BA
2100;Nilo Peçanha;BA
2101;Nordestina;BA
2102;Nova Canaã;BA
2103;Nova Fátima;BA
2104;Nova Ibiá;BA
2105;Nova Itarana;BA
2106;Nova Redenção;BA
2107;Nova Soure;BA
2108;Nova Viçosa;BA
2109;Novo Horizonte;BA
2110;Novo Triunfo;BA
2111;Olindina;BA
2112;Oliveira dos Brejinhos;BA
2113;Ouriçangas;BA
2114;Ourolândia;BA
2115;Palmas de Monte Alto;BA
2116;Palmeiras;BA
2117;Paramirim;BA
2118;Paratinga;BA
2119;Paripiranga;BA
2120;Pau Brasil;BA
2121;Paulo Afonso;BA
2122;Pé de Serra;BA
2123;Pedrão;BA
2124;Pedro Alexandre;BA
2125;Piatã;BA
2126;Pilão Arcado;BA
2127;Pindaí;BA
2128;Pindobaçu;BA
2129;Pintadas;BA
2130;Piraí do Norte;BA
2131;Piripá;BA
2132;Piritiba;BA
2133;Planaltino;BA
2134;Planalto;BA
2135;Poções;BA
2136;Pojuca;BA
2137;Ponto Novo;BA
2138;Porto Seguro;BA
2139;Potiraguá;BA
2140;Prado;BA
2141;Presidente Dutra;BA
2142;Presidente Jânio Quadros;BA
2143;Presidente Tancredo Neves;BA
2144;Queimadas;BA
2145;Quijingue;BA
2146;Quixabeira;BA
2147;Rafael Jambeiro;BA
2148;Remanso;BA
2149;Retirolândia;BA
2150;Riachão das Neves;BA
2151;Riachão do Jacuípe;BA
2152;Riacho de Santana;BA
2153;Ribeira do Amparo;BA
2154;Ribeira do Pombal;BA
2155;Ribeirão do Largo;BA
2156;Rio de Contas;BA
2157;Rio do Antônio;BA
2158;Rio do Pires;BA
2159;Rio Real;BA
2160;Rodelas;BA
2161;Ruy Barbosa;BA
2162;Salinas da Margarida;BA
2163;Salvador;BA
2164;Santa Bárbara;BA
2165;Santa Brígida;BA
2166;Santa Cruz Cabrália;BA
2167;Santa Cruz da Vitória;BA
2168;Santa Inês;BA
2169;Santaluz;BA
2170;Santa Luzia;BA
2171;Santa Maria da Vitória;BA
2172;Santana;BA
2173;Santanópolis;BA
2174;Santa Rita de Cássia;BA
2175;Santa Teresinha;BA
2176;Santo Amaro;BA
2177;Santo Antônio de Jesus;BA
2178;Santo Estêvão;BA
2179;São Desidério;BA
2180;São Domingos;BA
2181;São Félix;BA
2182;São Félix do Coribe;BA
2183;São Felipe;BA
2184;São Francisco do Conde;BA
2185;São Gabriel;BA
2186;São Gonçalo dos Campos;BA
2187;São José da Vitória;BA
2188;São José do Jacuípe;BA
2189;São Miguel das Matas;BA
2190;São Sebastião do Passé;BA
2191;Sapeaçu;BA
2192;Sátiro Dias;BA
2193;Saubara;BA
2194;Saúde;BA
2195;Seabra;BA
2196;Sebastião Laranjeiras;BA
2197;Senhor do Bonfim;BA
2198;Serra do Ramalho;BA
2199;Sento Sé;BA
2200;Serra Dourada;BA
2201;Serra Preta;BA
2202;Serrinha;BA
2203;Serrolândia;BA
2204;Simões Filho;BA
2205;Sítio do Mato;BA
2206;Sítio do Quinto;BA
2207;Sobradinho;BA
2208;Souto Soares;BA
2209;Tabocas do Brejo Velho;BA
2210;Tanhaçu;BA
2211;Tanque Novo;BA
2212;Tanquinho;BA
2213;Taperoá;BA
2214;Tapiramutá;BA
2215;Teixeira de Freitas;BA
2216;Teodoro Sampaio;BA
2217;Teofilândia;BA
2218;Teolândia;BA
2219;Terra Nova;BA
2220;Tremedal;BA
2221;Tucano;BA
2222;Uauá;BA
2223;Ubaíra;BA
2224;Ubaitaba;BA
2225;Ubatã;BA
2226;Uibaí;BA
2227;Umburanas;BA
2228;Una;BA
2229;Urandi;BA
2230;Uruçuca;BA
2231;Utinga;BA
2232;Valença;BA
2233;Valente;BA
2234;Várzea da Roça;BA
2235;Várzea do Poço;BA
2236;Várzea Nova;BA
2237;Varzedo;BA
2238;Vera Cruz;BA
2239;Vereda;BA
2240;Vitória da Conquista;BA
2241;Wagner;BA
2242;Wanderley;BA
2243;Wenceslau Guimarães;BA
2244;Xique-Xique;BA
