Código;Nível;Unidade;Ativa;"Nome da Disciplina";"Nome Abreviado";"Nome em Inglês"
23085P;Pós-Graduação;C3;Sim;"Aquisição e Condicionamento de Dados (Esp Engª Elétrica)";"Aquis Condic de Dado";
03111;Graduação;C3;Sim;"ARQUIT. DE COMPUTADORES I";"Arquit. Comp. I";
03112;Graduação;C3;Sim;"ARQUIT. DE COMPUTADORES II";"Arquit. Comp. II";
23141P;Pós-Graduação;C3;Sim;"Arquitetura da Internet";"Arquitetura da Inter";
23035P;Pós-Graduação;C3;Sim;"Arquitetura de Computadores";"Arquitetura de Comp";"Computer Architecture"
23087;Graduação;C3;Sim;"Arquitetura de Computadores";"Arquit. Comput.";"Computer Architecture"
23152;Graduação;C3;Sim;"Arquitetura e Organização de Computadores";"Arq. Org. Com.";
23003;Graduação;C3;Sim;"Atividade de Integração Curricular I";"Ativ. Int. Curr. I";"Curricular Integration Activities I"
23102;Graduação;C3;Sim;"Atividade de Integração Curricular I";"Ati. Int. Curric. I";"Integrated Curriculum Activities I"
23111;Graduação;C3;Sim;"Atividade de Integração Curricular I";"Ativ. Int. Curric.";"Curricular Integration Activities I"
23009;Graduação;C3;Sim;"Atividade de Integração Curricular II";"Ativ. Int. Curr. II";"Curricular Integration Activities II"
